Audit Board,Batch Name,Ballot Number,Storage Location,Tabulator,Ticket Numbers,Already Audited,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,Total Ballots,,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,,,
Audit Board #1,A0006,118,,,0.002343383,N,,,1,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0006,180,,,0.002368673,N,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0014,176,,,0.001015005,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0032,125,,,0.000373813,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0033,172,,,0.001433460,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0045,44,,,0.002081987,N,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0049,197,,,0.001921544,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0052,112,,,0.000890795,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0052,182,,,0.000170916,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0052,193,,,0.001770779,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0055,120,,,0.000516882,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0058,100,,,0.000219836,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0061,59,,,0.002790802,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0061,101,,,0.001098325,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0063,107,,,0.001439660,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0066,27,,,0.002677989,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0066,119,,,0.000846013,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0075,30,,,0.001646881,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0105,14,,,0.002598921,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0112,3,,,0.001540937,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0112,78,,,0.001810345,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0116,124,,,0.002636181,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0126,127,,,0.001056589,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0134,51,,,0.000929417,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0134,145,,,0.000105140,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0147,8,,,0.000969113,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0147,173,,,0.000427728,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0153,82,,,0.002503808,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,A0153,183,,,0.000892953,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0004,66,,,0.001683182,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0008,26,,,0.000819453,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,0,11,2,0,0,0,0,0,3,0,1,0,0,0,11,4,2,0,1,11,0,0,1,0,0,0
Audit Board #1,B0010,151,,,0.002062921,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0020,5,,,0.002663059,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0030,62,,,0.001235584,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0032,59,,,0.000478850,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0054,95,,,0.000401226,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0054,143,,,0.003099695,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0059,193,,,0.002130745,N,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0071,53,,,0.001884545,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0071,81,,,0.003159891,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0071,125,,,0.000341256,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0076,94,,,0.003094654,N,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0076,100,,,0.002928668,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0076,104,,,0.002004905,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0082,193,,,0.001555805,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0095,100,,,0.001479355,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0095,196,,,0.003189356,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0105,158,,,0.000963295,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0129,95,,,0.003112992,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0136,115,,,0.002997188,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,B0152,32,,,0.002829057,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-2C,211,,,0.002958799,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-2C,230,,,0.001243921,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-2C,460,,,0.001531407,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-5,126,,,0.002676314,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-5,342,,,0.000953782,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-5,346,,,0.002502817,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-5,372,,,0.000544720,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-5,588,,,0.003038643,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #1,EARLY-5,608,,,0.001698890,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0009,42,,,0.001138360,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,0,18,0,0,1,0,0,0,3,0,1,0,0,0,16,6,1,0,1,0,4,0,2,,,
Audit Board #2,A0018,75,,,0.000392507,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0036,39,,,0.001981174,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0036,165,,,0.000546673,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0039,2,,,0.002197489,N,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0051,20,,,0.002639350,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0054,70,,,0.001776737,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0073,121,,,0.001580393,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0080,148,,,0.001603685,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0082,199,,,0.001411001,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0085,43,,,0.002175863,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0085,180,,,0.002224659,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0086,58,,,0.002418835,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0086,122,,,0.001276481,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0093,14,,,0.003178318,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0093,84,,,0.002882930,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0093,182,,,0.000448370,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0095,116,,,0.000131179,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0095,120,,,0.002215113,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0101,142,,,0.002681739,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0113,128,,,0.000767084,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0114,165,,,0.001019605,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0115,10,,,0.002426238,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0115,75,,,0.002468365,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0115,190,,,0.001368756,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0144,16,,,0.000597748,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0144,63,,,0.002835749,N,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0144,154,,,0.001652982,N,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0150,196,,,0.001514336,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0012,63,,,0.002265900,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0012,67,,,0.000079967,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,0,14,0,0,0,0,1,0,1,0,1,0,1,0,7,11,0,0,1,8,3,0,0,,,
Audit Board #2,B0012,84,,,0.000702409,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0041,78,,,0.000977177,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0063,155,,,0.003027316,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0069,48,,,0.002202205,N,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0078,109,,,0.000109759,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0089,160,,,0.003176101,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0090,52,,,0.003041295,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0090,178,,,0.000455342,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0099,158,,,0.002237918,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0103,78,,,0.002063507,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0103,119,,,0.001148355,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0106,85,,,0.000413616,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0106,156,,,0.001663613,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0109,34,,,0.001546841,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0109,182,,,0.002557631,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0111,59,,,0.001750924,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0112,91,,,0.001074483,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0115,128,,,0.000643318,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0128,29,,,0.000465108,N,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0137,130,,,0.002461414,N,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0137,192,,,0.002956625,N,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0141,163,,,0.002309581,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,B0143,38,,,0.002743123,N,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,188,,,0.000805583,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,231,,,0.001911458,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,384,,,0.002356703,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,448,,,0.002382308,N,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,EARLY-3B,506,,,0.000931588,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
